img,name,link,engDescription,jpDescription,tags,filterTag,platform,price,category_id
build.one.svg,Build.one,https://www.build.one/,A no-code platform for building web and mobile apps.,ウェブとモバイルアプリを構築するためのノーコードプラットフォーム,"NoCode, Web, Mobile","NoCode,UI Design,App,Website",Browser,Freemium,64761102ba22fed734b9de7a
builderx.svg,Builderx,https://builderx.io/,Design tool for creating and prototyping designs for various devices.,ユーザーがさまざまなデバイスの設計とプロトタイプを作成することを可能にするデザインツール。,"Prototype, Devices","NoCode,UI Design,Animation","Browser, Apple, Windows",Freemium,64761102ba22fed734b9de7a
cakewalk.svg,Cakewalk,https://www.bandlab.com/products/cakewalk,Free digital audio workstation,フリーのデジタルオーディオワークステーション,"Music,  Audio",Audio,Windows,Free,64761102ba22fed734b9de7a
calligraphr.svg,Calligraphr,www.calligraphr.com,Online tool to create custom handwriting fonts,オンラインツールを使用して、独自の手書きフォントを作成します。,"Font, Handwriting, Customization",Font,Windows,Freemium,64761102ba22fed734b9de7a
camtasia.svg,Camtasia,https://www.techsmith.com/video-editor.html,"Screen recording and video editing software for tutorials, presentations, and educational content.",教育的なコンテンツ、プレゼンテーション、チュートリアルを作成するのに適した画面録画およびビデオ編集ソフトウェア,"Screen , Video Editor, Presentations",Video,"Apple, Windows",Paid,64761102ba22fed734b9de7a
capturenx-d.svg,Capture NX-D,https://www.nikonusa.com/en/learn-and-explore/a/tips-and-techniques/nikon-capture-nx-d-software.html,Nikon's official software for editing and processing RAW images,Nikon の RAW 画像を編集・加工するための公式ソフトウェア,"Editor, Processing, RAW images",Image,"Apple, Windows",Free,64761102ba22fed734b9de7a
captureone.svg,Capture One,https://www.captureone.com/,Professional photo editing software with powerful tethered shooting capabilities,プロの写真編集ソフトウェアは、強力なテザーリング撮影機能を備えています。,"Image Editor, Tethered Shooting, Capabilities",Image,"Apple, Windows",Paid,64761102ba22fed734b9de7a
carrd.svg,Carrd,https://carrd.co/,"A simple, free platform for building one-page websites.",簡単で無料のプラットフォームを使用して1ページのウェブサイトを構築します。,"One-page, Website","NoCode,UI Design,Website",Browser,Freemium,64761102ba22fed734b9de7a
cinepaint.svg,CinePaint,http://cinepaint.org/,Free Open Source HDR Paint and Stop-Motion Animation,無料のオープンソースHDRペイントとストップモーションアニメーションソフトウェア,"HDR, Paint, Animation","Color, Animation","Windows,Apple,Linux",Free,64761102ba22fed734b9de7a
clickup.svg,ClickUp,https://clickup.com/,A platform for managing projects and workflows.,プロジェクトとワークフローを管理するためのプラットフォーム,"Manager,Workflows","NoCode,Productivity",Browser,Freemium,64761102ba22fed734b9de7a
coda.svg,Coda,https://coda.io/,"A platform for creating documents that can also contain interactive elements like tables, buttons, and forms.",ドキュメント作成プラットフォームでは、テーブルやボタン、フォームなどのインタラクティブな要素を含めることもできます。,"Doc, Interactive, Table, Button, Forms","NoCode,Productivity",Browser,Freemium,64761102ba22fed734b9de7a
colorcontrastanalyser.svg,Color Contrast Analyser,https://www.paciellogroup.com/resources/contrastanalyser,Check color contrast ratios.,色彩コントラスト比をチェックしてください。,"Color, Contrast, Ratios",Color,"Apple,Browser",Free,64761102ba22fed734b9de7a
colorcop.svg,Color Cop,http://www.colorcop.net/,Advanced color picker and color scheme generator.,色のピッカーと色のスキームを生成する高度なツール。,"Color picker, Colorcheme, Generator",Color,Windows,Free,64761102ba22fed734b9de7a
colornames.svg,Color Names,https://colornames.org/,Database of color names and their hexadecimal codes,データベースの色の名前とそれらの16進コード,"Database, Color, Name, Hexadecimal, Codes",Color,"Apple,Windows",Free,64761102ba22fed734b9de7a
colorschemer.svg,Color Schemer,https://www.colorschemer.com/,Create and manage color schemes.,カラースキームを作成し管理する。,"Color, Scheme, Manage",Color,"Apple,Windows",Paid,64761102ba22fed734b9de7a
colorslurp.svg,Color Slurp ,https://colorslurp.com/,"Color picker, organizer, and manager for Apple",AppleのmacOSオペレーティングシステムのためのカラーピッカー、オーガナイザー、およびマネージャー,"Color Picker, Organizer, Manager",Color,Apple,Free,64761102ba22fed734b9de7a
colorsnapper.svg,Color Snapper,https://colorsnapper.com/,Advanced color picker for AppleOS,アップルOS用のアドバンスドカラーピッカー,"Color, Picker",Color,Apple,Paid,64761102ba22fed734b9de7a
colorwell.svg,ColorWell,https://colorwell.sweetpproductions.com/,Access color palettes from the menu bar.,メニューバーからカラーパレットをアクセスしてください。,"Menu Bar, Color Palettes",Color,Apple,Paid,64761102ba22fed734b9de7a
crica.svg,Crica,https://crica.co/,"Website builder designed for creative professionals, offering customizable designs.",ウェブサイトビルダーはクリエイティブプロフェッショナルのために設計され、カスタマイズ可能なデザインを提供しています。,"Website builder,Customizables","NoCode,UI Design,Website",Browser,Freemium,64761102ba22fed734b9de7a
cubase.svg,Cubase,https://new.steinberg.net/cubase/,Music production software,インターネット上で無料で音楽制作ソフトウェアが利用できます。,"Music,  Editor",Audio,"Windows, Apple",Paid,64761102ba22fed734b9de7a
davinciresolve.svg,Davinci Resolve,https://www.blackmagicdesign.com/products/davinciresolve/,Video editing software with advanced color correction and audio editing capabilities.,高度なカラーコレクションとオーディオ編集機能を備えた機能豊富なビデオ編集ソフトウェア,"Video, Color, Audio, Editor","Video, Audio","Apple, Windows",Freemium,64761102ba22fed734b9de7a
dhiwise.svg,Dhiwise,dhiwise.com,A no-code platform for building data-driven web applications.,データ駆動型のWebアプリケーションを構築するための、コードを書かないプラットフォーム。,"NoCode, Data-Driven, Web App","NoCode,App",Browser,Freemium,64761102ba22fed734b9de7a
directual.svg,Directual,https://www.directual.com/,No-code platform for creating websites and web apps without coding.,コードを書くことなく、ウェブサイトやウェブアプリを作成できるプラットフォーム。,"NoCode, Website, Web App, Code","NoCode,UI Design,Website",Browser,Freemium,64761102ba22fed734b9de7a
dishapages.svg,Disha Pages,https://getdisha.co/pages/,Website builder with easy-to-use tools for website creation.,簡単に使用できるツールを提供するウェブサイト作成を重点としたウェブサイトビルダー。,Website,"NoCode,UI Design,Website",Browser,Freemium,64761102ba22fed734b9de7a
dorik.svg,Dorik,https://dorik.com/,"Website builder focused on speed and simplicity, enabling quick site creation.",速度と簡単さを重視したウェブサイトビルダーで、素早いサイト作成を可能にします。,"Website, Speed, Simplicity, Site","NoCode,UI Design,Website",Browser,Freemium,64761102ba22fed734b9de7a
draftbit.svg,Draftbit,draftbit.com,A no-code platform for building mobile apps.,モバイルアプリを構築するためのコードなしプラットフォーム。,"NoCode, Mobile, App","NoCode,UI Design,App",Browser,Freemium,64761102ba22fed734b9de7a
drift.svg,Drift,https://www.drift.com/,A platform for conversational marketing and sales.,会話型マーケティングとセールスのためのプラットフォーム,"Conversational, Marketing","NoCode,UX Design,Productivity",Browser,Paid,64761102ba22fed734b9de7a
dronahq.svg,DronaHQ,https://dronahq.com/,A no-code platform for building web and mobile applications.,コードなしでウェブやモバイルアプリを構築するプラットフォーム,"NoCode, Web, Mobile, App","NoCode,App,Website",Browser,Paid,64761102ba22fed734b9de7a
dxofilmpack.svg,DxO FilmPack,https://www.dxo.com/dxo-filmpack,Software for applying film simulations and analog effects to digital photos,ソフトウェアはデジタル写真にフィルムシミュレーションとアナログ効果を適用するために使用されます。,"Film, Simulation, Analog, Effects","Image,Video","Apple, Windows",Paid,64761102ba22fed734b9de7a
dxophotolab.svg,DxO PhotoLab,https://www.dxo.com/dxo-photolab,Advanced photo editing software with powerful correction and enhancement tools,高度な写真編集ソフトウェアは、強力な補正と強化ツールを備えています。,"Image Editor, Correction",Image,"Apple, Windows",Paid,64761102ba22fed734b9de7a
dxoviewpoint.svg,DxO ViewPoint,https://www.dxo.com/dxo-viewpoint,Software for correcting perspective and distortion in photos,写真の歪みや視点を補正するソフトウェア,"Perspective, Distortion, Images",Image,"Apple, Windows",Paid,64761102ba22fed734b9de7a
dynaboard.svg,Dynaboard,dynaboard.com,A platform for visualizing and sharing data from spreadsheets.,スプレッドシートからのデータの可視化と共有のためのプラットフォーム,"Visualization, Data, Spreadsheet","NoCode,Productivity",Browser,Freemium,64761102ba22fed734b9de7a
figma.svg,Figma,https://www.figma.com/,Web-based vector graphics editor and design collaboration tool,Webベクターグラフィックスエディターとデザイン共同ツール,"Web, Vector, Graphic, Editor","UI Design,UX Design",Browser,Freemium,64761102ba22fed734b9de7a
figside.svg,Figside,figside.com,A platform for designing and managing web interfaces.,ウェブインターフェースの設計と管理のためのプラットフォーム,"Manager, Web, Interfaces","NoCode,UI Design",Browser,Freemium,64761102ba22fed734b9de7a
filmora.svg,Filmora,https://filmora.wondershare.com/,Beginner-friendly video editing software with intuitive interface and creative effects.,簡単に使えるインターフェースと幅広いクリエイティブな効果を備えたビデオ編集ソフトウェア,"Video Edito, Effects",Video,"Apple, Windows",Paid,64761102ba22fed734b9de7a
finalcutpro.svg,Final Cut Pro,https://www.apple.com/final-cut-pro/,Professional video editing software for Apple with advanced editing and color grading tools.,Appleのプロ用ビデオ編集ソフトウェアで、高度な編集とカラーグレーディングツールを備えています。,"Video Editor, Color Grading",Video,Apple,Paid,64761102ba22fed734b9de7a
flstudio.svg,FL Studio,https://www.image-line.com/,Music production software with lifetime free updates and comprehensive audio editing tools.,音楽制作ソフトウェアは、生涯無料アップデートと包括的なオーディオ編集ツールを提供しています。,"Music, Audio, Editor",Audio,"Windows, Apple",Paid,64761102ba22fed734b9de7a
flutterflow.svg,FlutterFlow,https://flutterflow.io/,A no-code platform for building Flutter applications.,Flutterアプリケーションを構築するためのコードなしプラットフォーム。,"NoCode, Flutter, App","NoCode,UI Design,App",Browser,Freemium,64761102ba22fed734b9de7a
fontforge.svg,FontForge,https://fontforge.org/,Free font editor for creating and editing fonts,フォントを作成・編集するための無料フォントエディター,"Font, Editor, Creation",Font,"Apple, Windows, Linux",Free,64761102ba22fed734b9de7a
fontlab.svg,FontLab,https://www.fontlab.com/,Professional font editor for creating and editing fonts,フォントを作成・編集するためのプロ用フォントエディター,"Font, Editor, Professional",Font,"Apple, Windows",Paid,64761102ba22fed734b9de7a
framer.svg,Framer,https://www.framer.com/,Interactive design tool for creating prototypes and animations with advanced features.,高度な機能を備えたプロトタイプとアニメーションを作成するためのインタラクティブデザインツール。,"Interactive, Prototype, Animation","UI Design,UX Design,Animation",Browser,Freemium,64761102ba22fed734b9de7a
garageband.svg,GarageBand,https://www.apple.com/mac/garageband/,Music creation software for Apple with virtual instruments and recording capabilities.,Appleの音楽制作ソフトウェアで、バーチャル楽器と録音機能を備えています。,"Music, Virtual Instruments, Recording",Audio,Apple,Free,64761102ba22fed734b9de7a
gimp.svg,GIMP,https://www.gimp.org/,Free and open-source image editor,無料でオープンソースの画像エディター,"Image, Editor",Image,"Apple, Windows, Linux",Free,64761102ba22fed734b9de7a
glide.svg,Glide,https://www.glideapps.com/,A no-code platform for building mobile apps from spreadsheets.,スプレッドシートからモバイルアプリを構築するためのコードなしプラットフォーム。,"NoCode, Mobile, App, Spreadsheet","NoCode,UI Design,App",Browser,Freemium,64761102ba22fed734b9de7a
glitch.svg,Glitch,https://glitch.com/,A platform for building and hosting web applications.,ウェブアプリケーションの構築とホスティングのためのプラットフォーム,"Building, Hosting, Web App","NoCode,App,Website",Browser,Free,64761102ba22fed734b9de7a
godaddy.svg,GoDaddy,https://www.godaddy.com/,Website builder and domain registration service with hosting solutions.,ホスティングソリューションを備えたウェブサイトビルダーとドメイン登録サービス。,"Website, Domain, Hosting","NoCode,UI Design,Website",Browser,Freemium,64761102ba22fed734b9de7a
goldwave.svg,GoldWave,https://www.goldwave.com/,Audio editing software with comprehensive features for sound processing and analysis.,音声処理と分析のための包括的な機能を備えたオーディオ編集ソフトウェア。,"Audio, Editor, Sound Processing",Audio,Windows,Paid,64761102ba22fed734b9de7a
gravit.svg,Gravit Designer,https://www.designer.io/,Vector design software for creating illustrations and graphics,イラストやグラフィックを作成するためのベクターデザインソフトウェア,"Vector, Design, Illustration",Illustration,"Apple, Windows, Linux, Browser",Freemium,64761102ba22fed734b9de7a
gumroad.svg,Gumroad,https://gumroad.com/,A platform for selling digital products and managing online sales.,デジタル製品の販売とオンライン販売の管理のためのプラットフォーム,"Selling, Digital, Online","NoCode,Productivity",Browser,Freemium,64761102ba22fed734b9de7a
hocoos.svg,Hocoos,https://hocoos.com/,AI-powered website builder for creating professional websites quickly.,プロフェッショナルなウェブサイトを素早く作成するためのAI搭載ウェブサイトビルダー。,"AI, Website, Professional","NoCode,UI Design,Website,AI",Browser,Freemium,64761102ba22fed734b9de7a
honeycode.svg,Honeycode,https://www.honeycode.aws/,A no-code platform by AWS for building web and mobile applications.,AWSによるウェブやモバイルアプリを構築するためのコードなしプラットフォーム。,"NoCode, AWS, Web, Mobile","NoCode,App,Website",Browser,Freemium,64761102ba22fed734b9de7a
ilovepdf.svg,I Love PDF,https://www.ilovepdf.com/,Online PDF tools for editing and managing PDF documents.,PDF文書の編集と管理のためのオンラインPDFツール。,"PDF, Editor, Manager","Productivity,Others",Browser,Freemium,64761102ba22fed734b9de7a
illustrator.svg,Illustrator,https://www.adobe.com/products/illustrator.html,Vector graphics editor for creating illustrations and designs,イラストやデザインを作成するためのベクターグラフィックスエディター,"Vector, Graphics, Editor",Illustration,"Apple, Windows",Paid,64761102ba22fed734b9de7a
inkscape.svg,Inkscape,https://inkscape.org/,Free and open-source vector graphics editor,無料でオープンソースのベクターグラフィックスエディター,"Vector, Graphics, Editor",Illustration,"Apple, Windows, Linux",Free,64761102ba22fed734b9de7a
inshot.svg,InShot,https://inshot.com/,Mobile video editing app with easy-to-use features for social media content.,ソーシャルメディアコンテンツのための使いやすい機能を備えたモバイルビデオ編集アプリ。,"Mobile, Video, Editor, Social Media","Video,App","Apple, Android",Freemium,64761102ba22fed734b9de7a
invision.svg,InVision,https://www.invisionapp.com/,Digital product design platform for prototyping and collaboration.,プロトタイピングとコラボレーションのためのデジタル製品デザインプラットフォーム。,"Digital, Prototype, Collaboration","UI Design,UX Design",Browser,Freemium,64761102ba22fed734b9de7a
ixd.svg,IxD,https://ixd.protoplus.com/,A platform for interaction design and prototyping.,インタラクションデザインとプロトタイピングのためのプラットフォーム,"Interaction, Design, Prototype","NoCode,UI Design,UX Design",Browser,Freemium,64761102ba22fed734b9de7a
jetboost.svg,Jetboost,https://jetboost.io/,A platform for adding advanced functionality to Webflow sites.,Webflowサイトに高度な機能を追加するためのプラットフォーム,"Advanced, Functionality, Webflow","NoCode,UI Design,Website",Browser,Paid,64761102ba22fed734b9de7a
jimdo.svg,Jimdo,https://www.jimdo.com/,Website builder with AI-powered design assistance and e-commerce features.,AI搭載のデザインアシスタンスとeコマース機能を備えたウェブサイトビルダー。,"Website, AI, E-commerce","NoCode,UI Design,Website",Browser,Freemium,64761102ba22fed734b9de7a
jotform.svg,JotForm,https://www.jotform.com/,A platform for creating online forms and surveys.,オンラインフォームとアンケートを作成するためのプラットフォーム,"Online, Forms, Surveys","NoCode,Productivity",Browser,Freemium,64761102ba22fed734b9de7a
justinmind.svg,Justinmind,https://www.justinmind.com/,Prototyping tool for web and mobile app design with interactive features.,インタラクティブ機能を備えたウェブやモバイルアプリデザインのためのプロトタイピングツール。,"Prototype, Web, Mobile, Interactive","UI Design,UX Design",Browser,Freemium,64761102ba22fed734b9de7a
krita.svg,Krita,https://krita.org/,Free and open-source digital painting software,無料でオープンソースのデジタルペインティングソフトウェア,"Digital, Painting, Software",Illustration,"Apple, Windows, Linux",Free,64761102ba22fed734b9de7a
landbot.svg,Landbot,https://landbot.io/,A platform for creating conversational chatbots and landing pages.,会話型チャットボットとランディングページを作成するためのプラットフォーム,"Conversational, Chatbot, Landing","NoCode,UX Design,Website",Browser,Freemium,64761102ba22fed734b9de7a
lightroom.svg,Lightroom,https://www.adobe.com/products/photoshop-lightroom.html,Photo editing and organization software with cloud synchronization.,クラウド同期機能を備えた写真編集と整理ソフトウェア。,"Photo, Editor, Organization, Cloud",Image,"Apple, Windows",Paid,64761102ba22fed734b9de7a
loom.svg,Loom,https://www.loom.com/,Screen recording and video messaging platform for communication and collaboration.,コミュニケーションとコラボレーションのための画面録画とビデオメッセージングプラットフォーム。,"Screen Recording, Video, Communication","Video,Productivity",Browser,Freemium,64761102ba22fed734b9de7a
luminar.svg,Luminar,https://skylum.com/luminar,AI-powered photo editing software with advanced enhancement features.,高度な強化機能を備えたAI搭載の写真編集ソフトウェア。,"AI, Photo, Editor, Enhancement","AI,Image","Apple, Windows",Paid,64761102ba22fed734b9de7a
lunacy.svg,Lunacy,https://icons8.com/lunacy,"Free design software with built-in graphics and AI tools to streamline workflow.",無料のデザインソフトウェアには、グラフィックスやAIツールを組み込んで、ワークフローをスタートアップするのに役立つ機能が搭載されています。ソフトウェアには、オートレイアウト、Figmaインポートなど、生産性を高めるツールが含まれています。,"Graphic, AI , Workflow","AI,Image,Illustration","Apple, Windows, Browser",Free,64761102ba22fed734b9de7a
mailchimp.svg,Mailchimp,https://mailchimp.com/,Email marketing platform with automation and analytics features.,自動化と分析機能を備えたメールマーケティングプラットフォーム。,"Email, Marketing, Automation","NoCode,Productivity",Browser,Freemium,64761102ba22fed734b9de7a
marvel.svg,Marvel,https://marvelapp.com/,Design and prototyping platform for creating interactive mockups and wireframes.,インタラクティブなモックアップとワイヤーフレームを作成するためのデザインとプロトタイピングプラットフォーム。,"Design, Prototype, Mockup, Wireframe","UI Design,UX Design",Browser,Freemium,64761102ba22fed734b9de7a
memberstack.svg,Memberstack,https://www.memberstack.com/,A platform for adding membership and user authentication to websites.,ウェブサイトにメンバーシップとユーザー認証を追加するためのプラットフォーム,"Membership, Authentication, Website","NoCode,UI Design,Website",Browser,Paid,64761102ba22fed734b9de7a
mendix.svg,Mendix,https://www.mendix.com/,Low-code platform for building enterprise applications with visual development tools.,ビジュアル開発ツールを備えたエンタープライズアプリケーションを構築するためのローコードプラットフォーム。,"Low-code, Enterprise, Visual","NoCode,App",Browser,Paid,64761102ba22fed734b9de7a
miro.svg,Miro,https://miro.com/,Online collaborative whiteboard platform for brainstorming and project planning.,ブレインストーミングとプロジェクト計画のためのオンライン共同ホワイトボードプラットフォーム。,"Collaborative, Whiteboard, Brainstorming","UX Design,Productivity",Browser,Freemium,64761102ba22fed734b9de7a
mixamo.svg,Mixamo,https://www.mixamo.com/,3D character animation service with rigging and motion capture capabilities.,リギングとモーションキャプチャ機能を備えた3Dキャラクターアニメーションサービス。,"3D, Character, Animation, Rigging","Animation,Others",Browser,Free,64761102ba22fed734b9de7a
monday.svg,Monday,https://monday.com/,Work management platform for team collaboration and project tracking.,チームコラボレーションとプロジェクト追跡のための作業管理プラットフォーム。,"Work Management, Team, Collaboration","NoCode,Productivity",Browser,Paid,64761102ba22fed734b9de7a
moqups.svg,Moqups,https://moqups.com/,Design and prototyping tool for creating wireframes and mockups.,ワイヤーフレームとモックアップを作成するためのデザインとプロトタイピングツール。,"Design, Prototype, Wireframe, Mockup","UI Design,UX Design",Browser,Freemium,64761102ba22fed734b9de7a
muse.svg,Muse,https://www.adobe.com/products/muse.html,Website design software for creating responsive websites without coding.,コーディングなしでレスポンシブウェブサイトを作成するためのウェブサイトデザインソフトウェア。,"Website, Design, Responsive","NoCode,UI Design,Website","Apple, Windows",Paid,64761102ba22fed734b9de7a
musicmaker.svg,Music Maker,https://www.magix.com/us/music/music-maker/,Music production software with loops and virtual instruments for beginners.,初心者向けのループとバーチャル楽器を備えた音楽制作ソフトウェア。,"Music, Production, Loops, Virtual",Audio,Windows,Freemium,64761102ba22fed734b9de7a
nativescript.svg,NativeScript,https://nativescript.org/,Framework for building native mobile apps using JavaScript and TypeScript.,JavaScriptとTypeScriptを使用してネイティブモバイルアプリを構築するためのフレームワーク。,"Native, Mobile, JavaScript, TypeScript","NoCode,UI Design,App","Apple, Windows, Linux",Free,64761102ba22fed734b9de7a
netlify.svg,Netlify,https://www.netlify.com/,Platform for deploying and hosting modern web applications with continuous deployment.,継続的デプロイメントを備えた現代的なウェブアプリケーションのデプロイとホスティングのためのプラットフォーム。,"Deploy, Hosting, Web, Continuous","NoCode,Website",Browser,Freemium,64761102ba22fed734b9de7a
ninox.svg,Ninox,https://ninox.com/,Database platform for creating custom business applications.,カスタムビジネスアプリケーションを作成するためのデータベースプラットフォーム,"Database, Custom, Business","NoCode,Productivity",Browser,Paid,64761102ba22fed734b9de7a
notion.svg,Notion,https://www.notion.so/,All-in-one workspace for notes, tasks, databases, and collaboration.,ノート、タスク、データベース、コラボレーションのためのオールインワンワークスペース。,"All-in-one, Workspace, Notes, Tasks","NoCode,Productivity",Browser,Freemium,64761102ba22fed734b9de7a
nuke.svg,Nuke,https://www.foundry.com/products/nuke,Professional compositing software for visual effects and post-production.,ビジュアルエフェクトとポストプロダクションのためのプロ用コンポジットソフトウェア。,"Compositing, Visual Effects","Video,Animation","Apple, Windows, Linux",Paid,64761102ba22fed734b9de7a
