img,name,link,engDescription,jpDescription,tags,filterTag,category_id
adobestock.svg,Adobe Stock,https://stock.adobe.com/,"Royalty-free images, videos, templates, and 3D assets.",ロイヤリティーフリーの画像、動画、テンプレート、3Dアセット,"Image, Video, Template, 3D Assets","Image, Video",64761222ba22fed734b9de7d
airbornesound.svg,Airborne Sound,https://www.airbornesound.com,Independent sound library offering natural sound effects and field recordings for film and game audio.,独立した音楽ライブラリは、映画やゲームオーディオのための自然な音効果とフィールドレコーディングを提供しています。," Sound, Library, Natural, Film",Audio,64761222ba22fed734b9de7d
akaricons.svg,Akar Icons,https://akaricons.com/,"A perfectly rounded icon library made for designers, developers, and pretty much everyone.",完璧に丸みを帯びたアイコンライブラリは、デザイナー、開発者、そしてほとんどの人々のために作られました。,"Icon, Library, Everyone",Icon,64761222ba22fed734b9de7d
allfreedownload.svg,All Free Download,https://all-free-download.com/,"A website providing free vectors, photos, and PSD files for download.",無料のベクター、写真、PSDファイルをダウンロードできるウェブサイト,"Website, Vector, Image, PSD","Image, Illustration",64761222ba22fed734b9de7d
artlist.svg,Artlist,https://artlist.io/sound-effects,Subscription-based library of royalty-free music and sound effects,登録制で、著作権フリーの音楽や効果音のライブラリ,"Music, Sound, Effect, Library",Audio,64761222ba22fed734b9de7d
audionetwork.svg,Audio Network,https://www.audionetwork.com/,A commercial music and sound effect library with a simple licensing model.,簡単なライセンスモデルを持つコマーシャル音楽と効果音ライブラリ,"Music, Sound effect, Library",Audio,64761222ba22fed734b9de7d
audiohero.svg,AudioHero,https://www.audiohero.com,"Library of royalty-free music and sound effects for multimedia projects, with a subscription-based model.",マルチメディアプロジェクト用の無料音楽および効果音ライブラリーで、定額制のモデルを採用しています。,"Music, Sound Effect, Multimedia, Library",Audio,64761222ba22fed734b9de7d
audiojungle.svg,AudioJungle,https://audiojungle.net,"Marketplace for royalty-free music and sound effects, offering a wide range of genres and styles.",音楽や効果音のロイヤリティフリーマーケットプレイスで、幅広いジャンルとスタイルを提供しています。,"Marketplace, Music, Sound Effect, Genres",Audio,64761222ba22fed734b9de7d
audiomicro.svg,AudioMicro,https://www.audiomicro.com/,A marketplace for royalty-free music and sound effects.,ロイヤリティフリーの音楽や効果音のマーケットプレイス,"Music, Sound, Marketplace",Audio,64761222ba22fed734b9de7d
basicons.svg,Basicons,https://basicons.xyz/,Basic icons for product design & development,商品デザイン・開発のための基本的なアイコン,"Dev,  Icons",Icon,64761222ba22fed734b9de7d
bbcsoundeffects.svg,BBC Sound Effects,https://sound-effects.bbcreWindowsd.co.uk/,"Archive of BBC sound effects from TV, radio, and film",BBCの効果音のアーカイブは、テレビ、ラジオ、映画からです。,"Archive, BBC, Sound Effect, TV, Radio",Audio,64761222ba22fed734b9de7d
bigfishaudio.svg,Big Fish Audio,https://www.bigfishaudio.com/,Sound effects and sample libraries,サウンドエフェクトやサンプルライブラリーは、商業音楽制作でよく使われます。,"Sound, Effect, Sample, Library",Audio,64761222ba22fed734b9de7d
blastwavefx.svg,Blastwave FX,https://www.blastwavefx.com/,Sound effects libraries for post-production and multimedia,効果音ライブラリーはポストプロダクションとマルチメディアアプリケーション用です。,"Sound, Effect, Library",Audio,64761222ba22fed734b9de7d
bluezonecorporation.svg,Bluezone Corporation,https://www.bluezone-corporation.com/,Sound effects and sound libraries,サウンドエフェクトとサウンドライブラリは、オーディオプロフェッショナルのための重要なツールです。,"Sound, Effect, Library",Audio,64761222ba22fed734b9de7d
boomlibrary.svg,Boom Library,https://www.boomlibrary.com,"Professional sound effects libraries designed for film, games, and multimedia projects.",プロのサウンドエフェクトライブラリは、映画、ゲーム、そしてマルチメディアプロジェクト用にデザインされています。,"Sound Effect, Film, Games",Audio,64761222ba22fed734b9de7d
boxicons.svg,Boxicons,https://boxicons.com/,Simple Open Source icons carefully crafted for designers & developers,簡単なオープンソースのアイコンは、デザイナーと開発者のために細心に作られています,"Simple, Icon",Icon,64761222ba22fed734b9de7d
brandcolors.svg,BrandColors,https://brandcolors.net/,The biggest collection of official brand color codes around. ,世界最大級の公式ブランドカラーコード集です。,"Brand, Color, Code",Color,64761222ba22fed734b9de7d
burst.svg,Burst,burst.shopify.com,Free stock photos for websites and commercial use.,ウェブサイトや商用で無料のストックフォト。,"Stock, Image, Website",Image,64761222ba22fed734b9de7d
canvaphoto.svg,Canva Photo,canva.com/photos,Free stock photos and images with a user-friendly design tool.,簡単に使えるデザインツールを使って無料のストックフォトとイメージをダウンロードできます。,"Stock, Image, Image",Image,64761222ba22fed734b9de7d
ccocreativecommons.svg,CCO Creative Commons,https://cc0.photo/,"A collection of high-resolution, Creative Commons Zero (CC0) licensed photos.",高解像度の、クリエイティブ・コモンズ・ゼロ（CC0）ライセンスのフォトコレクション。,"(CC0), Licensed, Image",Image,64761222ba22fed734b9de7d
circumicons.svg,Circum Icons,https://circumicons.com/icons,The icon library you wish you had found earlier,あなたが望んでいたアイコンライブラリーを早く見つけたら,"Icon, Library, Resource",Icon,64761222ba22fed734b9de7d
clipart.svg,Clipart,clipart.com,"A platform offering a vast collection of clipart, illustrations, and graphics for various projects.",プロジェクトのためのクリップアート、イラスト、グラフィックスを豊富に提供するプラットフォーム,"Clipart, Illustration, Graphic","Image,Illustration",64761222ba22fed734b9de7d
clipartlibrary.svg,Clipart Library,clipart-library.com,"A collection of free clipart, icons, and illustrations for personal and commercial use.",無料のクリップアート、アイコン、イラストを個人および商用でご利用いただけます。,"Clipart, Icon, Illustration","Image,Illustration",64761222ba22fed734b9de7d
cohesivecolors.svg,Cohesive Colors,https://www.cohesivecolors.com/,Tool for creating cohesive color schemes,ツールを使用してコヒーレントなカラースキームを作成する,"Creating, Cohesive, Color Schemes",Color,64761222ba22fed734b9de7d
colllor.svg,Colllor,https://colllor.com/,Color palette generator with various options,色彩パレットジェネレーターは、色調を作成するための様々なオプションを備えています。,"Color, Palette, Generator, Options",Color,64761222ba22fed734b9de7d
colorbyhailpixel.svg,Color by Hailpixel,https://color.hailpixel.com/,Simple and intuitive color picker and generator,簡単で直感的なカラーピッカーとジェネレーター,"Color, Picker, Generator, Simple, Intuitive",Color,64761222ba22fed734b9de7d
colorcalculator.svg,Color Calculator,https://www.sessions.edu/color-calculator/,Calculate color combinations and harmonies,色の組み合わせと調和を計算してください,"Color, Combination, Harmonie, Calculate",Color,64761222ba22fed734b9de7d
colorclaim.svg,Color Claim,https://vanschneider.com/colors,Test color contrast and accessibility for web design,ウェブデザインのカラーコントラストとアクセシビリティをテストしてください,"Color, Contrast, Accessibility, Web Design",Color,64761222ba22fed734b9de7d
colordesigner.svg,Color Designer,http://colordesigner.io/,Design and customize color palettes with various tools,色のパレットを自由にデザインしカスタマイズできるツールを使用してください,"Customize, Color, Palette",Color,64761222ba22fed734b9de7d
colorexplorer.svg,Color Explorer,http://www.colorexplorer.com/,Generate and explore color palettes with various tools,色のパレットを作成し、様々なツールで探索する,"Color, Palette, Explore",Color,64761222ba22fed734b9de7d
colorflip.svg,Color Flip,https://colorflip.com/,Flip and rotate colors to create new palettes,色を反転させて、新しいパレットを作成します。,"Flip, Rotate, Color, Palettes",Color,64761222ba22fed734b9de7d
colorhunt.svg,Color Hunt,https://colorhunt.co/,Collection of color palettes for design inspiration,色のパレットのコレクションは、デザインのインスピレーションを得るために役立ちます。,"Color, Palette",Color,64761222ba22fed734b9de7d
colorlisa.svg,Color Lisa,http://www.colorlisa.com/,Collection of color palettes inspired by famous artworks,著名なアート作品にインスパイアされたカラーパレットのコレクション,"Artwork, Color, Palette",Color,64761222ba22fed734b9de7d
colorpalette.svg,Color Palette,https://www.canva.com/colors/color-palette-generator/,Generate color palettes from images or colors,画像や色からカラーパレットを生成します。,"Palette, Image, Color, Generater",Color,64761222ba22fed734b9de7d
colorpalettes.svg,Color Palettes,https://www.colorpalettes.net/,Collection of color palettes for various purposes,彩色のパレットを様々な目的に使用するためのコレクション,"Color, Palette, Variou, Purposes",Color,64761222ba22fed734b9de7d
colorpicker.svg,Color Picker,https://colorpicker.me,"An online color picker tool.",オンラインのカラーピッカーツールです。,"Color, Picker",Color,64761222ba22fed734b9de7d
colorreview.svg,Color Review,https://color.review/,Test color contrast and accessibility of your designs,色のコントラストとアクセシビリティをテストしてください,"Color, Contrast, Accessibility",Color,64761222ba22fed734b9de7d
colorsafe.svg,Color Safe,http://colorsafe.co/,Test the color contrast of text and background for accessibility,テストの色彩コントラストは、アクセシビリティのためにテキストとバックグラウンドのコントラストをテストします。,"Accessibility, Color, Contrast, Test",Color,64761222ba22fed734b9de7d
colorspace.svg,Color Space,https://mycolor.space/,Generate and explore color palettes based on different color spaces,カラーパレットを生成し、異なるカラースペースに基づいて探索します。,"Color palette, Visualization",Color,64761222ba22fed734b9de7d
colorspark.svg,Color Spark,https://colorspark.netlify.app/,Color palette generator and manager with collaboration features,カラーパレットジェネレーターと管理ツールを備えたコラボレーション機能を持つ,"Color, Palette, Generator, Manager, Collaboration",Color,64761222ba22fed734b9de7d
colorspire.svg,Color Spire,http://colorspire.com/,find unique colors and striking gradient combinations.,独特な色と目を引くグラデーションの組み合わせを見つけましょう。,"Color, Striking, Gradient, Combination",Color,64761222ba22fed734b9de7d
colorthief.svg,Color Thief,https://lokeshdhakar.com/projects/color-thief/,Extract dominant colors from an image,画像からドメインカラーを抽出します。,"Color, Image, Extract, Dominant",Color,64761222ba22fed734b9de7d
colorable.svg,Colorable,https://colorable.jxnblk.com/,Test color combinations for accessibility and contrast,色の組み合わせのアクセシビリティとコントラストをテストします。,"Color, Combination, Accessibility, Contrast, Test",Color,64761222ba22fed734b9de7d
colorate.svg,Colorate,https://colorate.azurewebsites.net/,Generate and explore color palettes.,色のパレットを生成して探索します。,"Palette, Color, Generate, Explore",Color,64761222ba22fed734b9de7d
colorbox.svg,Colorbox,https://colorbox.io,Create and share color palettes.,色のパレットを作成して共有しましょう。,"Palette, Color,Creation",Color,64761222ba22fed734b9de7d
colorcombos.svg,ColorCombos,https://www.colorcombos.com/,Explore and create color combinations and schemes,色のコンビネーションやスキームを探索し、アドビカラーホイールで作成しましょう。,"Explore, Color Combination, Schemes",Color,64761222ba22fed734b9de7d
colorhexa.svg,ColorHexa,https://www.colorhexa.com/,"Color picker, converter, and information resource",カラーピッカー、コンバーター、および情報リソース,"Web, Resource",Color,64761222ba22fed734b9de7d
colorkit.svg,ColorKit,https://colorkit.co/,Color palette manager and generator for designers,カラーパレットマネージャーとデザイナーのための生成器,"Color, Palette, Manager, Generator",Color,64761222ba22fed734b9de7d
colorme.svg,ColorMe,https://colorme.io/,Visualize The CSS Color Function,視覚化するCSSカラーファンクション,"Visualization,CSS, Color",Color,64761222ba22fed734b9de7d
colormind.svg,Colormind,http://colormind.io/,AI-powered color palette generator for design projects,AIを使用したデザインプロジェクトのカラーパレットジェネレータ,"AI, Color, Palette, Generator",Color,64761222ba22fed734b9de7d
colors&fonts.svg,Colors & Fonts,https://www.colorsandfonts.com/,Collection of color palettes and typography combinations,カラーパレットとタイポグラフィーの組み合わせのコレクション,"Color, Palette, Font, Combinations",Color,64761222ba22fed734b9de7d
colorswall.svg,Colors Wall,https://colorswall.com/,Community-driven platform for creating and sharing color palettes,コミュニティ駆動型のカラーパレット作成・共有プラットフォーム,"Community, Color, Palette, ",Color,64761222ba22fed734b9de7d
colorsinspo.svg,Colorsinspo,https://colorsinspo.com/,Collection of color palettes for design inspiration,色のパレットのコレクションは、デザインのインスピレーションを得るために役立ちます。,"Color, Palette",Color,64761222ba22fed734b9de7d
colorwise.svg,Colorwise,https://colorwise.io/,AI-powered color palette generator,AI-パワードカラーパレットジェネレーター,"AI, Color, Palette, Generator",Color,64761222ba22fed734b9de7d
colorzilla.svg,ColorZilla,https://www.colorzilla.com/,Advanced eyedropper and color picker tool.,アドバンスドなアイドロッパーとカラーピッカーツールです。,"Eyedropper, Color, Picker",Color,64761222ba22fed734b9de7d
colourcode.svg,ColourCode,https://colourco.de/,Color picker and converter with code snippets,カラーピッカーとコードスニペットを使用したコンバータ,"Color, Picker, Converter, Code, Snippets",Color,64761222ba22fed734b9de7d
colourlovers.svg,COLOURlovers,https://www.colourlovers.com/,Community-driven platform for color inspiration and palettes,コミュニティ駆動型のカラーインスピレーションとパレットのプラットフォーム,"Color, Community, Palettes",Color,64761222ba22fed734b9de7d
contrastchecker.svg,Contrast Checker,https://contrastchecker.com/,Check contrast ratios and accessibility of color combinations,コントラスト比とカラーコンビネーションのアクセシビリティをチェックしてください。,"Contrast Ratio, Accessibility, Color",Color,64761222ba22fed734b9de7d
contrastratio.svg,Contrast Ratio,https://contrast-ratio.com/,Check contrast ratios between two colors,色のコントラスト比をチェックしてください。,"Contrast, Ratio, Colors",Color,64761222ba22fed734b9de7d
coolhue.svg,CoolHue,https://webkul.github.io/coolhue/,Collection of handpicked gradient hues and swatches,彩色グラデーションのヒューズとスウォッチを集めました,"Handpicked, Gradient, Hue, Swatches",Color,64761222ba22fed734b9de7d
coolors.svg,Coolors,https://coolors.co,Color palette generator and exploration tool,カラーパレットジェネレーターと探索ツール,"Color, Palette, Generator",Color,64761222ba22fed734b9de7d
craftworkicons.svg,Craftwork Icons,https://icons.craftwork.design/,High-quality interface assets for designers and startup creatives,高品質のインターフェースアセットは、デザイナーとスタートアップクリエイターのためのものです。,"Interface, Asset, Startup",Icon,64761222ba22fed734b9de7d
creativecommonssearch.svg,Creative Commons Search,search.creativecommons.org,A platform to search for images with Creative Commons licenses.,画像を検索するためのプラットフォームで、クリエイティブ・コモンズライセンスを使用しています。,"Search, Image, Common, Licenses",Image,64761222ba22fed734b9de7d
crello.svg,Crello,crello.com,"Free stock photos, templates, and design assets for social media and graphic design projects.",無料のストックフォト、テンプレート、ソーシャルメディアやグラフィックデザインプロジェクト用のデザインアセット。,"Image, Social media, Graphic","Image,UI Design",64761222ba22fed734b9de7d
cssgg.svg,Css gg,https://css.gg/,"Open-source CSS, SVG and Figma UI Icons",オープンソースのCSS、SVG、Figma UIアイコン,"CSS, SVG, Figma, UI",Icon,64761222ba22fed734b9de7d
cssgradient.svg,CSS Gradient,https://cssgradient.io/,Generate CSS gradients with customizable options,カスタマイズ可能なオプションを持つCSSグラデーション,"CSS Gradient, Customize",Color,64761222ba22fed734b9de7d
culrs.svg,Culrs,https://culrs.com/,Discover and share beautiful color palettes,美しいカラーパレットを見つけて、デザインのアイデアを共有しましょう。,"Color, Palette, Share, Discover",Color,64761222ba22fed734b9de7d
cupcake.svg,Cupcake,cupcake.nilssonlee.se,Beautiful and free food photos for personal and commercial use.,美しく自由な食べ物の写真は個人のおよび商用で使用できます。,"Food, Image",Image,64761222ba22fed734b9de7d
dafont.svg,DaFont,www.dafont.com,Archive of freely downloadable fonts,"アーカイブ無料ダウンロードフォント。","Archive,Font",Font,64761222ba22fed734b9de7d
deathtothestockphoto.svg,Death to the Stock Photo,deathtothestockphoto.com,Monthly photo packs with a free and premium subscription option.,月に一度、無料と有料のサブスクリプションオプションがある写真パック,"Image, Pack",Image,64761222ba22fed734b9de7d
depositphotos.svg,Deposit photos,depositphotos.com,"High-quality stock photos, vectors, and videos.",高品質の画像、ベクター、動画,"Stock, Image, Vector, Video",Image,64761222ba22fed734b9de7d
designerspics.svg,Designers Pics,www.designerspics.com,High-resolution free stock photos for personal and commercial use.,高解像度の無料ストック写真を個人用と商用で使用するために。,"Image, Stock",Image,64761222ba22fed734b9de7d
domainarchive.svg,Domain Archive,https://publicdomainarchive.com/,Curated collection of public domain images and stock photos.,公開ドメインの画像とストックフォトのカタログです。,Image,Image,64761222ba22fed734b9de7d
domainpictures.svg,Domain Pictures,https://www.publicdomainpictures.net/,"A collection of free, high-quality stock photos and clipart in the public domain.",無料で高品質のストックフォトやクリップアートを公開ドメインで集めました。,"Collection,Stock Image, Clipart",Image,64761222ba22fed734b9de7d
doodleicons.svg,Doodle Icons,https://khushmeen.com/icons.html,400+ handcrafted icons free for your next project,400以上のハンドクラフトされたアイコンを無料で次のプロジェクトに使用できます。,"Icon, Handcrafted",Icon,64761222ba22fed734b9de7d
dreamstime.svg,Dreamstime,dreamstime.com,A stock photography website offering both free and premium images.,無料画像と有料画像の両方を提供するストックフォトサイト,"Stock, Imagegraphy, Website",Image,64761222ba22fed734b9de7d
earlyaccess.svg,Early Access,fonts.google.com/earlyaccess,Preview and test experimental fonts from Google,テスト用にGoogle Fontsから実験的なフォントをプレビューしてください。,"Google, Font, Experimental, Preview, Test",Font,64761222ba22fed734b9de7d
eggradients.svg,Eggradients,https://www.eggradients.com/,Collection of hand-picked gradients for design inspiration,"手採れたグラデーションのデザインのインスピレーション集",Gradient,Color,64761222ba22fed734b9de7d
encycolorpedia.svg,Encycolorpedia,https://encycolorpedia.com/,Comprehensive color encyclopedia with detailed information,色彩の詳細な情報を持つ包括的なカラー図鑑,"Comprehensive, Color, Encyclopedia",Color,64761222ba22fed734b9de7d
envatoelements.svg,Envato Elements,https://elements.envato.com/sound-effects,Subscription-based library of sound effects and music,サウンドエフェクトと音楽の定額制ライブラリ,"Sound effect, Music, Library",Audio,64761222ba22fed734b9de7d
epidemicsound.svg,Epidemic Sound,https://www.epidemicsound.com,Subscription-based platform offering a vast library of high-quality royalty-free music and sound effects.,有料のプラットフォームで、高品質の無料音楽や効果音の膨大なライブラリを提供しています。,"Library, Music, Sound effects",Audio,64761222ba22fed734b9de7d
evacolors.svg,Eva Colors,https://colors.eva.design/,Color palette generator and inspiration for Eva Design System,色のパレットを生成し、Eva Design Systemのインスピレーションを与える,"Color, Palette, Generator, Eva",Color,64761222ba22fed734b9de7d
fancycrave.svg,Fancy Crave,fancycrave.com,"A collection of visually stunning, free stock photos for personal and commercial use.",美しく見事な無料のストックフォトコレクションを、個人用および商用目的でご利用いただけます。,"Visually, Stunning, Stock",Image,64761222ba22fed734b9de7d
ffonts.svg,FFonts,www.ffonts.net,Free fonts for personal and commercial use,無料のフォントを個人および商用で使用できます。,Font,Font,64761222ba22fed734b9de7d
flatuicolorpicker.svg,Flat UI Color Picker,https://www.flatuicolorpicker.com/,"Select your favorite color from a various colors suggestions including red, purple, blue, green, yellow, orange and grey. Easy copy and paste your color from RGB, RGBA, HEX, CMYK, HSLA color format.",色々な色の提案から自分の好きな色を選びなさい。簡単にコピー＆ペーストできます。,"Flat, UI, Color",Color,64761222ba22fed734b9de7d
flatuicolors.svg,Flat UI Colors,https://flatuicolors.com/,Collection of flat UI colors for design projects,デザインプロジェクトのためのフラットUIカラーコレクション,"Flat, UI, Color",Color,64761222ba22fed734b9de7d
flaticon.svg,Flaticon,flaticon.com,"A database of free vector icons, available in various formats and customizable.",無料のベクターアイコンのデータベースがあり、様々なフォーマットとカスタマイズ可能です。,"Vector, Icon, Format, Customize","Illustration,Icon",64761222ba22fed734b9de7d
fontawesome.svg,Font Awesome,fontawesome.com,Icon set and toolkit with scalable vector icons,アイコンセットとツールキットを使用してスケーラブルなベクターアイコンを作成します。,"Icon, Set, Scalable, Vector","Icon,Font",64761222ba22fed734b9de7d
fontbureau.svg,Font Bureau,www.fontbureau.com,Independent digital type foundry and design studio,独立したデジタルタイプファウンデリーとデザインスタジオ,"Studio, Type, Foundry, Digital",Font,64761222ba22fed734b9de7d
fontmeme.svg,Font Meme,fontmeme.com,Generator for text and logo using custom fonts,テキストとロゴをカスタムフォントを使用して生成するジェネレータ,"Text, Logo, Font, Generator",Font,64761222ba22fed734b9de7d
fontsquirrel.svg,Font Squirrel,www.fontsquirrel.com,Free fonts for commercial use,無料で商用利用可能なフォント,Font,Font,64761222ba22fed734b9de7d
fontastic.svg,Fontastic,https://fontastic.me/,Icon font generator and management tool,アイコンフォントの生成と管理ツール,"Icon, Font, Generator, Manager","Font,Iconhhh",64761222ba22fed734b9de7d
fontfabric.svg,Fontfabric,https://www.fontfabric.com/fonts/,Independent type foundry and design studio,独立したタイプファウンデリーとデザインスタジオ,"Type, Foundry, Studio",Font,64761222ba22fed734b9de7d
fontjoy.svg,Fontjoy,fontjoy.com,Font pairing and generation tool,"日本語でこの文を翻訳してください。フォントペアリングと生成ツール。",Font,Font,64761222ba22fed734b9de7d
fontreach.svg,FontReach,www.fontreach.com,Discover which fonts are popular on the web,ウェブ上で人気のフォントを発見しましょう,"Font,Web",Font,64761222ba22fed734b9de7d
fontsinuse.svg,Fonts In Use,fontsinuse.com,Collection of real-world typography examples,実世界のタイポグラフィの例集,Font,Font,64761222ba22fed734b9de7d
fonts.com.svg,Fonts.Com,www.fonts.com,Online marketplace for professional fonts and typography,オンラインでプロのフォントとタイポグラフィーのためのマーケットプレイス,Marketplace,Font,64761222ba22fed734b9de7d
fontshop.svg,FontShop,www.fontshop.com,Online marketplace for fonts and typography resources,オンラインでフォントやタイポグラフィのリソースを売買する市場,"Marketplace,Resources",Font,64761222ba22fed734b9de7d
fontspace.svg,FontSpace,www.fontspace.com,Community-driven font library,コミュニティ駆動型フォントライブラリ,"Community, Driven, Font, Library",Font,64761222ba22fed734b9de7d
fontspark.svg,FontSpark,www.fontspark.com,Font combination generator for designers,これはデザイナーのためのフォント組み合わせジェネレーターです。,"Combination, Generator",Font,64761222ba22fed734b9de7d
fontspring.svg,Fontspring,www.fontspring.com,Independent font retailer and marketplace,独立したフォント販売店およびマーケット,"Font, Retailer, Marketplace,  Typeface",Font,64761222ba22fed734b9de7d
foodiesfeed.svg,Foodies feed,foodiesfeed.com,Free high-resolution food photos for personal and commercial use.,無料の高解像度の食べ物写真を個人用と商用で使用できます。,"Food, Image",Image,64761222ba22fed734b9de7d
fotojet.svg,Foto Jet,fotojet.com,Online graphic design tool with a collection of free stock photos and templates.,オンライングラフィックデザインツールで、無料のストックフォトとテンプレートのコレクションがあります。,"Graphic, Stock Image","Image,Illustration",64761222ba22fed734b9de7d
freedigitalphotos.svg,Free Digital Photos,freedigitalphotos.net,"A platform offering free and premium stock photos, illustrations, and vectors for personal and commercial use.",無料および有料のストックフォト、イラスト、ベクターを提供するプラットフォーム,"Platform,Stock Image, Illustration","Image,Illustration",64761222ba22fed734b9de7d
freefoodphotos.svg,Free Food Photos,freefoodphotos.com,Collection of free food and drink photos for personal and commercial use.,私たちは無料の食べ物や飲み物の写真を個人で商業目的で使用するために集めています。,"Food, Drink, Image",Image,64761222ba22fed734b9de7d
freeimages.svg,Free Images,freeimages.co.uk,"A collection of free stock photos, textures, and backgrounds for personal and commercial use.",無料のストックフォト、テクスチャ、背景を個人および商用目的で使用するためのコレクションです。,"Stock Image, Background",Image,64761222ba22fed734b9de7d
freejpg.svg,Free JPG,https://www.freejpg.com.ar/,A website offering free stock photos and illustrations in multiple categories.,無料のストックフォトやイラストを多くのカテゴリーで提供するウェブサイト,"Website, Stock Image, Illustration",Image,64761222ba22fed734b9de7d
freepik.svg,Free Pik,freepik.com,"A platform offering free graphic resources, including vectors, PSD files, and icons.",無料のグラフィックリソースを提供するプラットフォームであり、ベクター、PSDファイル、アイコンを含む。,"Graphic, Resource, Vector, Icon","Image,Illustration",64761222ba22fed734b9de7d
freepixels.svg,Free Pixels,freepixels.com,"A collection of high-quality, royalty-free stock photos available for personal and commercial use.",高品質でロイヤリティフリーの写真コレクションを個人および商用でご利用いただけます。,"Stock, Image",Image,64761222ba22fed734b9de7d
freepotos.svg,Free Potos,https://freephotos.cc/,"Wide variety of free stock photos, with categories ranging from nature to technology.",幅広い無料のストックフォト、自然からテクノロジーまで様々なカテゴリーがあります。,"Stock, Image, Nature",Image,64761222ba22fed734b9de7d
freetousesounds.svg,Free To Use Sounds,https://www.freetousesounds.com,Website offering a wide range of free-to-use sound effects and field recordings from around the world.,世界中から無料で使用できるサウンドエフェクトとフィールドレコーディングを提供するウェブサイト,"Website, Sound Effect",Audio,64761222ba22fed734b9de7d
freerange.svg,Freerange,freerangestock.com,Free stock photos for commercial and non-commercial use.,無料のコマーシャルおよび非コマーシャル用のストックフォト,"Stock, Image,",Image,64761222ba22fed734b9de7d
freesfx.svg,Freesfx,https://www.freesfx.co.uk/,Royalty-free sound effects and music,無料で使える音効果と音楽,"Sound effect, Music",Audio,64761222ba22fed734b9de7d
freesound.svg,Freesound,https://freesound.org,Collaborative database of creative-commons licensed sound effects and audio snippets.,コラボレーターデータベースはクリエイティブコモンズライセンスのサウンドエフェクトとオーディオスニペットを提供しています。,"Collaborative, Database, Sound effect",Audio,64761222ba22fed734b9de7d
gettyimages.svg,Getty Images,gettyimages.com,A renowned stock photography agency with a vast selection of high-quality images.,有名なスタックフォトグラフィーエージェンシーは、高品質の画像を豊富に取り揃えています。,"Stock, Imagegraphy, Agency",Image,64761222ba22fed734b9de7d
googlefonts.svg,Google Fonts,fonts.google.com,Library of open-source fonts for web design,図書館は、Webデザインのためのオープンソースのフォントを提供しています。,"Font, Web",Font,64761222ba22fed734b9de7d
gpick.svg,Gpick,http://www.gpick.org/,Advanced color picker and palette editor,高度なカラーピッカーとパレットエディタ,"Color, Picker, Palette, Editor",Color,64761222ba22fed734b9de7d
gradienthunt.svg,Gradient Hunt,https://gradienthunt.com/,Discover and explore thousands of trendy color gradients,発見し、トレンディなカラーグラデーションを数千も探索してください。,"Trendy, Color, Gradient, Discover",Color,64761222ba22fed734b9de7d
gradientsparty.svg,Gradients Party,https://gradients.party/,Collection of CSS gradients for design projects,コレクションのCSSグラデーションは、デザインプロジェクトのために,CSS Gradient,Color,64761222ba22fed734b9de7d
gratisography.svg,Gratisography,gratisography.com,Quirky and creative high-resolution stock photos.,クリエイティブでクールな高解像度のストックフォト,"Quirky, Stock Images","Image,Illustration,Art",64761222ba22fed734b9de7d
